test_id,test_name,attr_id,attr_name,unit,unique
100921,Lipid Profile Serum (R),103729,HDL Cholesterol,mg/dL,"['36' '50.3' '38.2' '30.1' '51' '32.7' '20' '52.2' '41.5' '47' 'nan'
 '44.7' '41' '34.5' '42' '43.1' '43.9' '31' '55.9' '31.6' '35' '29.8'
 '35.5' '43.4' '29.5' '29.1' '36.9' '32.5' '42.2' '46' '43.8' '37.1'
 '46.2' '40.9' '26.4' '30.5' '30.9' '28' '36.3' '33.8' '35.9' '66' '24.2'
 '25' '111' '37' '32.2' '47.2' '43' '30.3' '53.2' '45.1' '31.4' '44.5'
 '15' '28.6' '29.2' '29.7' '38.4' '34.9' '26' '42.3' '40.4' '31.8' '30.6'
 '31.7' '55.8' '32.4' '44.1' '27.8' '42.1' '34.3' '40.1' '39' '25.2' '44'
 '56.7' '60.8' '37.3' '38.1' '66.5' '42.5' '79.2' '31.3' '28.5' '41.6'
 '27.6' '35.1' '40.5' '37.9' '64' '48.1' '41.9' '44.3' '37.6' '40' '33.4'
 '30' '34' '39.9' '46.3' '34.4' '24.9' '46.8' '34.1' '45' '24.1' '25.9'
 '36.6' '42.9' '43.6' '28.2' '27.2' '38.8' '38' '56.1' '45.7' '28.3'
 '28.7' '30.7' '27' '36.5' '51.2' '42.7' '60' '37.7' '17.7' '20.6' '33.5'
 '47.4' '24.5' '64.3' '26.5' '48.9' '36.2' '27.3' '27.9' '39.5' '24'
 '39.8' '33.1' '48' '46.9' '36.1' '49.9' '31.9' '45.5' '28.8' '35.7'
 '52.3' '42.6' '45.6' '39.1' '47.7' '31.2' '19' '41.2' '22.1' '32.3'
 '18.4' '44.8' '55' '30.4' '35.4' '25.4' '27.5' '40.8' '63.1' '72.1'
 '38.5' '54.1' '33.7' '44.9' '28.4' '24.6' '39.4' '39.3' '53.8' '21.6'
 '52.9' '36.7' '26.2' '27.1' '25.6' '33.2' '30.8' '35.3' '25.8' '25.3'
 '32' '23.8' '54.6' '38.9' '19.2' '47.6' '22.4' '39.6' '23.3' '24.7'
 '29.9' '39.7' '25.5' '16.9' '43.2' '26.1' '22.7' '22' '32.9' '40.3'
 '33.3' '10.2' '26.6' '21.4' '30.2' '29.6' '23.9' '28.1' '16.6' '22.2'
 '24.4' '67' '34.6' '39.2' '35.2' '23.2' '17.1' '49' '34.2' '18.2' '33'
 '55.3' '82.6' '49.8' '71' '29' '68.1' '21.9' '20.5' '56.2' '15.5' '38.6'
 '38.3' '24.3' '54.3' '26.7' '50.2' '42.4' '65' '32.6' '35.6' '23.4'
 '31.1' '41.7' '66.9' '49.1' '31.5' '50.7' '40.2' '45.4' '37.5' '47.3'
 '41.8' '51.8' '51.7' '36.4' '57.6' '63.2' '47.8' '47.9' '50' '26.3'
 '35.8' '48.3' '55.1' '41.4' '45.3' '32.8' '11.5' '50.1' '63.8' '26.8'
 '62.4' '40.6' '19.7' '50.5' '59' '43.3' '49.6' '22.6' '46.4' '44.4'
 '59.2' '54.8' '27.4' '46.7' '36.8' '66.7' '45.9' '55.7' '57.1' '51.4'
 '25.7' '54.7' '37.4' '29.3' '9.1' '54.9' '85.4' '57.4' '46.5' '37.8'
 '22.8' '41.3' '52.1' '49.3' '38.7' '41.1' '92.5' '45.2' '33.6' '33.9'
 '43.5' '52.6' '49.4' '60.5' '40.7' '71.7' '55.2' '48.4' '34.7' '37.2'
 '47.5' '63.7' '48.2' '64.7' '68.5' '43.7' '83.7' '58.2' '58.6' '62.3'
 '48.8' '34.8' '49.5' '61.8' '56.8' '55.6' '58.8' '59.7' '23.7' '76'
 '45.8' '58.3' '52.7' '61.7' '60.3' '16.3' '49.2' '35.0' '57.7' '59.9'
 '57.3' '42.8' '58.9' '60.1' '51.5' '51.9' '60.6' '48.7' '28.9' '44.6'
 '68.7' '21.3' '56.4' '54' '44.2' '15.9' '60.9' '48.6' '24.8' '20.2' '56'
 '29.4' '32.1' '46.6' '23.1' '56.6' '53.4' '48.5' '51.1' '58' '61.5'
 '51.3' '22.9' '63.5' '81.7' '53' '54.5' '53.1' '27.7' '23' '53.5' '55.4'
 '50.8' '62.1' '21.5' '22.5' '61.6' '71.5' '69.6' '71.3' '88' '78.2'
 '63.4' '56.3' '52' '78' '21.8' '52.8' '61.9' '25.1' '64.8' '53.9' '59.6'
 '91.7' '46.1' '73.6' '69.1' '67.5' '70.5' '75.6' '50.9' '66.6' '16.8'
 '57' '19.1' '58.4' '56.5' '52.5' '61.1' '76.9' '26.9' '62.8' '23.6'
 '53.3' '75.4' '50.4' '67.1' '50.6' '79.8' '54.2' '80.7' '10.7' '57.5'
 '70.8' '53.7' '20.0' '75.1' '60.4' '57.9' '51.6' '62.2' '81.3' '59.1'
 '63' '154' '85' '80' '153' '110' '69' '115' '77' '92' '91' '54.4' '97'
 '16' '21' '77.6' '20.8' '23.5' '61' '59.8' '52.4' '65.7' '64.2' '62'
 '64.9' '64.4' '57.8' '65.5' '73.5' '47.1' '69.8' '73' '18' '12' '12.0'
 '82' '9' '15.4' '105' '68' '17' '102' '86' '79' '34.0' '13' '84']"
100921,Lipid Profile Serum (R),103730,LDL Cholesterol,mg/dL,"['158' '138' '76' '103' '99' '91' '**' '134' '55' '68' 'nan' '107' '150'
 '126' '131' '96' '83' '147' '102' '54' '75' '186' '129' '133' '115' '63'
 '113' '201' '160' '151' '73' '68.0' '46' '35.0' '123' '121' '82' '92'
 '53' '67.6' '136' '85' '116' '--' '68.2' '130' '274' '131.8' '55.7' '90'
 '134.8' '148.5' '22' '19' '39' '37' '135' '155' '197' '104' '60' '80'
 '65' '86' '165' '112' '100' '81' '88' '89' '---' '71' '114' '93' '87'
 '59' '62' '105' '119' '31' '170' '69' '146' '57' '128' '5.0' '52' '98.0'
 '70' '16' '139' '77' '84' '236' '66' '47' '27' '38' '111' '98' '12.8'
 '94' '67' '149' '109' '159' '95' '33' '29' '41' '174.6' '45' '143' '33.2'
 '72' '142' '143.7' '180' '207' '74' '78' '153' '110' '108' '127' '21'
 '47.8' '132' '40' '101' '173' '137' '118' '11.5' '120' '122' '58' '56'
 '43' '64' '61' '36' '97' '152' '124' '48' '80.6' '141' '34' '49' '30.2'
 '79' '30' '106' '8' '169' '154' '50' '-' '208' '144' '45.8' '194' '166'
 '148' '51' '71.1' '9' '44' '42' '24' '11' '35' '91.1' '23' '215' '125'
 '174' '18' '168' '171' '54.8' '29.7' '26' '163' '10' '117' '156' '157'
 '162' '32' '54.6' '182' '176' '345' '161' '25' '13' '383.9' '49.3' '15'
 '12' '61.9' '18.7' '192' '177' '7.0' '222' '172' '17' '102.2' '140'
 '172.8' '195' '198' '20' '164' '77.0' '145' '175' '184' '187' '28' '256'
 '12.6' '189' '50.0' '181' '204' '56.3' '102.0' '92.6' '79.6' '185.4'
 '32.4' '69.2' '82.8' '82.4' '135.8' '241' '105.0' '80.4' '108.2' '135.0'
 '134.6' '53.4' '106.6' '144.4' '30.8' '149.6' '109.4' '68.6' '76.4'
 '148.4' '63.8' '168.8' '196' '167' '234' '179' '193' '58.2' '191' '70.4'
 '221' '183' '83.2' '*' '209' '214' '***' '250' '74.6' '208.4' '63.4'
 '57.4' '190' '87.6' '217' '31.4' '225' '202' '34.6' '140.2']"
100921,Lipid Profile Serum (R),103731,Triglycerides,mg/dL,"['218' '177' '186' '237' '131' '178' '5747' '79' '169' 'nan' '145' '191'
 '313' '163' '155' '162' '339' '91' '147' '270' '104' '181' '422' '575'
 '165' '89' '143' '161' '159' '90' '203' '97' '405' '101' '189' '449'
 '377' '114' '391' '120' '281' '51' '206' '892' '111' '56' '149' '594'
 '258' '354' '115' '146' '40' '54' '235' '269' '358' '207' '336' '196'
 '221' '199' '224' '720' '209' '458' '264' '138' '122' '311' '69' '93'
 '128' '123' '260' '530' '137' '182' '197' '140' '118' '324' '219' '45'
 '202' '98' '312' '85' '110' '310' '342' '198' '108' '195' '130' '119'
 '565' '183' '280' '205' '150' '301' '175' '248' '156' '126' '83.0' '222'
 '117' '368' '188' '337' '361' '229' '96' '141' '201' '86' '184' '179'
 '200' '433' '194' '212' '95' '170' '250' '232' '153' '497' '230' '320'
 '105' '172' '102' '293' '160' '482' '551' '615' '133' '274' '240' '869'
 '80' '388' '234' '624' '106' '107' '511' '294' '124' '265' '144' '154'
 '135' '185' '125' '92' '99' '134' '152' '327' '226' '437' '407' '139'
 '88' '176' '303' '345' '116' '396' '276' '112' '357' '204' '261' '334'
 '211' '423' '83' '561' '236' '132' '71' '171' '346' '251' '255' '302'
 '210' '109' '247' '464' '380' '297' '87' '74' '351' '166' '485' '242'
 '158' '121' '190' '239' '292' '282' '180' '113' '63' '246' '415' '290'
 '514' '220' '244' '253' '392' '173' '477' '82' '278' '273' '266' '174'
 '316' '164' '81' '419' '490' '249' '416' '347' '53' '62' '148' '100'
 '352' '284' '213' '84' '340' '187' '167' '291' '217' '243' '129' '376'
 '395' '429' '245' '263' '436' '151' '733' '193' '548' '59' '259' '223'
 '256' '225' '94' '499' '142' '317' '545' '279' '103' '228' '296' '295'
 '73' '238' '254' '168' '127' '60' '257' '277' '491' '428' '528' '252'
 '463' '535' '65' '457' '328' '283' '192' '75' '299' '385' '455' '367'
 '480' '318' '370' '329' '360' '272' '365' '343' '338' '350' '448' '540'
 '558' '77' '227' '430' '271' '332' '231' '398' '330' '308' '641' '233'
 '208' '307' '325' '536' '451' '275' '157' '298' '285' '306' '214' '78'
 '467' '837' '136' '421' '371' '267' '412' '516' '216' '645' '72' '321'
 '2700' '486' '509' '356' '475' '215' '268' '523' '33' '420' '639' '476'
 '399' '262' '844.0' '381' '359' '559' '369' '598' '566' '241' '383' '384'
 '323' '64' '426' '331' '379' '484' '286' '287' '333' '335' '489' '66'
 '438' '469' '355' '440' '55' '744' '492' '373' '378' '353' '473' '442'
 '67' '319' '409' '397' '805.0' '348' '288' '479' '305' '70' '481' '289'
 '326' '309' '58' '471' '402' '450' '76' '506' '495' '466' '439' '508'
 '322' '417' '34' '507' '4314' '515' '474' '453' '31' '576' '553' '634'
 '775' '441' '263.0' '531' '427' '344' '832.0' '519' '986' '389' '873'
 '534' '483' '68' '315' '363' '44' '425' '502' '445' '517' '61' '387'
 '752' '364' '931' '454' '456' '2086' '735' '4179.0' '459' '349' '1995'
 '627' '1050' '487' '920' '386' '644' '816' '550' '588' '522' '640' '715'
 '413' '390' '57' '314' '382' '724' '636' '621' '603' '914' '525' '393'
 '408' '478' '447' '418' '520' '518' '714' '541' '300' '304' '362' '498'
 '494' '926' '504' '1776' '692' '855' '503.0' '628' '1025' '1027' '773'
 '411' '552' '1175' '375' '410' '543' '468' '1860' '472' '1108' '797'
 '372' '862']"
5003345,Complete Urine Analysis (Urine R/E),3000003,Protein,,"['Trace' 'Nil' '++' '+' 'nan' '0' 'Not Done' '(+)' '(+++)' '+++' '(++++)'
 '++++' '(++)' 'Tarce']"
5003345,Complete Urine Analysis (Urine R/E),3000016,Blood,,"['nan' 'Nil' 'Not done' 'Trace' '3+' '+++' '(++)' '(+++)' '++' '+' '(+)'
 'Normal' 'Absent']"
5003345,Complete Urine Analysis (Urine R/E),3000017,Appearance,,['nan' 'Clear' 'Hazy' 'Turbid']
5003345,Complete Urine Analysis (Urine R/E),3000020,Colour,,"['L YELLOW' 'Straw' 'STRAW' 'Yellow' 'nan' 'AMBER' 'Reddish' 'Yellowish'
 'YELLOW' 'Deep yellow' 'Deep Straw' 'Red' 'Dark straw' 'Deep straw'
 'Amber' 'Pale yellow' 'Dark Brown' 'DK BROWN  06' 'Turbid' 'Deep starw'
 'Dark yellow' 'RED' 'Brown' 'Dark Straw' 'DK BROWN']"
5003345,Complete Urine Analysis (Urine R/E),3000031,Uric Acid,,['nan' 'Nil' '0' '(+)' '(++)' 'Few' '(+++)' 'A few']
5003345,Complete Urine Analysis (Urine R/E),3000037,Sugar,,"['Nil' '+++' 'nan' '++++' '0' 'Trace' 'Not Done' '++' '(++)' '(++++)'
 '(+)' '(+++)' '+']"
5003345,Complete Urine Analysis (Urine R/E),3000042,R B C,/LPF,['nan' 'Nil' '0']
5003345,Complete Urine Analysis (Urine R/E),3000043,W B C,/LPF,['nan' 'Nil' '0']
5003345,Complete Urine Analysis (Urine R/E),3000067,Bilirubin,,"['Nil' 'Not done' 'Not Done' 'nan' '0' '+' 'Normal' '(+)' '(+++)' '(++)'
 '++' '3.00']"
